	model	occupation	acc	diff	expected	unexpected	macrodiff
0	FacebookAI/roberta-base	academic	0.6820457796852647	-0.6183545783865605	23.263464016293593	23.88181859468015	-0.6183545783865583
1	FacebookAI/roberta-base	accountant	0.3701716738197425	0.5494597677850246	22.281847750850673	21.732387983065646	0.5494597677850273
2	FacebookAI/roberta-base	actor	0.7736051502145923	-1.0542844245703265	19.46601020215407	20.520294626724397	-1.0542844245703265
3	FacebookAI/roberta-base	actress	0.6970672389127325	-0.6053494015476735	20.883992448214638	21.48934184976231	-0.6053494015476737
4	FacebookAI/roberta-base	administrator	0.7128040057224606	-1.0679708720958967	27.126087233061785	28.19405810515768	-1.067970872095895
5	FacebookAI/roberta-base	analyst	0.5278969957081545	-0.11745245296385501	25.16907981878016	25.286532271744015	-0.11745245296385676
6	FacebookAI/roberta-base	architect	0.6974248927038627	-0.7293388997024733	24.673722016112148	25.40306091581462	-0.7293388997024728
7	FacebookAI/roberta-base	artist	0.878755364806867	-1.8423030867597063	20.743726998098587	22.586030084858294	-1.8423030867597063
8	FacebookAI/roberta-base	assistant	0.7550071530758226	-0.9092785121715802	26.004070610788588	26.913349122960167	-0.9092785121715785
9	FacebookAI/roberta-base	astronaut	0.567238912732475	-0.1909534873198372	27.020445739080294	27.211399226400133	-0.1909534873198382
10	FacebookAI/roberta-base	athlete	0.6598712446351931	-0.6672673453929939	24.586503471257178	25.25377081665017	-0.6672673453929931
11	FacebookAI/roberta-base	attendant	0.7868383404864091	-1.270322202101286	31.427925930514355	32.69824813261564	-1.2703222021012834
12	FacebookAI/roberta-base	auditor	0.43383404864091557	0.1933644824103053	26.815126566416204	26.621762084005898	0.19336448241030624
13	FacebookAI/roberta-base	author	0.6115879828326181	-0.5269239112542934	23.0426914023398	23.569615313594092	-0.5269239112542934
14	FacebookAI/roberta-base	broker	0.42668097281831185	0.18162912258262798	17.441470800721763	17.259841678139136	0.18162912258262764
15	FacebookAI/roberta-base	chef	0.47138769670958514	0.14614347531560148	17.26106364634927	17.11492017103367	0.14614347531560057
16	FacebookAI/roberta-base	chief	0.4864091559370529	0.03280688560060172	19.90770196266611	19.874895077065506	0.03280688560060341
17	FacebookAI/roberta-base	cleaner	0.34763948497854075	0.4474343458811442	18.0319553710872	17.584521025206058	0.44743434588114184
18	FacebookAI/roberta-base	clergy	0.7364091559370529	-1.0727653919541955	26.263741064822042	27.336506456776238	-1.0727653919541957
19	FacebookAI/roberta-base	clerk	0.4331187410586552	0.19981502599811696	18.578719169455706	18.37890414345759	0.19981502599811662
20	FacebookAI/roberta-base	coach	0.20064377682403434	0.686927287875327	15.600900722675568	14.913973434800242	0.6869272878753261
21	FacebookAI/roberta-base	collector	0.49642346208869814	0.10129665049360553	16.819854290529722	16.718557640036117	0.10129665049360526
22	FacebookAI/roberta-base	comedian	0.6022889842632332	-0.28291449219372145	11.197949061066296	11.480863553260017	-0.28291449219372033
23	FacebookAI/roberta-base	commander	0.5554363376251789	-0.20043961309397518	19.60577809145522	19.806217704549198	-0.20043961309397673
24	FacebookAI/roberta-base	composer	0.3011444921316166	0.5413590347306411	20.832241160334096	20.290882125603453	0.5413590347306432
25	FacebookAI/roberta-base	cook	0.3780400572246066	0.25201604593124177	16.430160759770988	16.17814471383975	0.2520160459312386
26	FacebookAI/roberta-base	counselor	0.21494992846924177	0.6911734443195218	15.539817217252455	14.848643772932935	0.6911734443195208
27	FacebookAI/roberta-base	curator	0.3623032904148784	0.4787724686623985	22.825856262010568	22.34708379334817	0.47877246866239886
28	FacebookAI/roberta-base	dentist	0.22782546494992847	0.7861578590709594	16.93759680544699	16.151438946376032	0.7861578590709577
29	FacebookAI/roberta-base	designer	0.4116595135908441	0.2937943682991213	16.88543216080454	16.59163779250542	0.2937943682991211
30	FacebookAI/roberta-base	detective	0.4928469241773963	0.07826391821767124	16.27175862048999	16.193494702272318	0.07826391821767231
31	FacebookAI/roberta-base	developer	0.47246065808297566	0.23547045321594154	16.867029105133252	16.631558651917313	0.23547045321593885
32	FacebookAI/roberta-base	diplomat	0.3354792560801145	0.35705929150397175	16.694695129926625	16.337635838422653	0.35705929150397253
33	FacebookAI/roberta-base	director	0.5543633762517882	-0.1106148516500798	17.96414263190459	18.07475748355467	-0.11061485165008023
34	FacebookAI/roberta-base	doctor	0.42238912732474965	0.19945488347857124	12.841321615872635	12.641866732394064	0.19945488347857143
35	FacebookAI/roberta-base	drawer	0.4270386266094421	0.20743547079389188	20.599392971767376	20.391957500973483	0.20743547079389302
36	FacebookAI/roberta-base	driver	0.6720314735336195	-0.5032441621174627	17.400980608487163	17.904224770604625	-0.5032441621174613
37	FacebookAI/roberta-base	economist	0.2814735336194564	0.7275210954941734	22.480779609625603	21.753258514131428	0.7275210954941755
38	FacebookAI/roberta-base	editor	0.6412732474964234	-0.5285240058735204	21.91230281125834	22.44082681713186	-0.5285240058735212
39	FacebookAI/roberta-base	engineer	0.709585121602289	-0.9312372221285011	22.139807666320145	23.071044888448647	-0.9312372221285017
40	FacebookAI/roberta-base	farmer	0.3569384835479256	0.4351052893418953	16.009809585088313	15.574704295746416	0.4351052893418963
41	FacebookAI/roberta-base	guard	0.40951359084406297	0.1803315269077285	15.877594970326568	15.697263443418839	0.1803315269077288
42	FacebookAI/roberta-base	guitarist	0.20851216022889843	0.8399129290778579	20.41392642916187	19.57401350008401	0.8399129290778582
